Sample,Frequency(Hz),Amplitude CH1(dBFS)
0,0,-37.506
1,1.5625,-42.5311
2,3.125,-51.2409
3,4.6875,-48.7766
4,6.25,-70.0982
5,7.8125,-52.5073
6,9.375,-50.5456
7,10.9375,-57.6666
8,12.5,-60.9364
9,14.0625,-61.1754
10,15.625,-63.9544
11,17.1875,-67.4568
12,18.75,-74.3506
13,20.3125,-71.9869
14,21.875,-90.9984
15,23.4375,-75.9494
16,25,-74.2533
17,26.5625,-73.3153
18,28.125,-77.4489
19,29.6875,-80.2706
20,31.25,-83.453
21,32.8125,-84.1353
22,34.375,-92.4436
23,35.9375,-93.2414
24,37.5,-88.348
25,39.0625,-78.8449
26,40.625,-79.7122
27,42.1875,-80.2843
28,43.75,-78.0637
29,45.3125,-79.8334
30,46.875,-78.6884
31,48.4375,-87.8585
32,50,-85.7422
33,51.5625,-83.3009
34,53.125,-85.2476
35,54.6875,-80.4096
36,56.25,-85.0174
37,57.8125,-87.9271
38,59.375,-72.8499
39,60.9375,-75.1325
40,62.5,-81.6876
41,64.0625,-85.8121
42,65.625,-83.9423
43,67.1875,-91.3373
44,68.75,-84.9623
45,70.3125,-81.5097
46,71.875,-90.2282
47,73.4375,-91.9981
48,75,-89.2198
49,76.5625,-87.7965
50,78.125,-85.7754
51,79.6875,-88.0817
52,81.25,-88.3046
53,82.8125,-87.5326
54,84.375,-90.671
55,85.9375,-94.039
56,87.5,-95.7294
57,89.0625,-93.1814
58,90.625,-79.3861
59,92.1875,-82.8876
60,93.75,-81.8937
61,95.3125,-84.4165
62,96.875,-84.6896
63,98.4375,-80.1362
64,100,-76.9108
65,101.563,-76.866
66,103.125,-77.9125
67,104.688,-85.5215
68,106.25,-81.7571
69,107.813,-62.8711
70,109.375,-53.882
71,110.938,-59.2236
72,112.5,-79.4291
73,114.063,-84.7412
74,115.625,-81.6441
75,117.188,-86.0318
76,118.75,-83.7481
77,120.313,-76.9044
78,121.875,-84.9517
79,123.438,-90.4799
80,125,-83.9408
81,126.563,-88.8889
82,128.125,-90.8016
83,129.688,-87.17
84,131.25,-81.0891
85,132.813,-86.7353
86,134.375,-111.372
87,135.938,-86.9506
88,137.5,-93.8357
89,139.063,-86.1238
90,140.625,-81.8579
91,142.188,-79.6817
92,143.75,-78.3099
93,145.313,-82.2407
94,146.875,-85.0918
95,148.438,-87.9371
96,150,-92.4914
97,151.563,-85.811
98,153.125,-81.7177
99,154.688,-88.6612
100,156.25,-88.9323
101,157.813,-83.6799
102,159.375,-90.5364
103,160.938,-85.533
104,162.5,-90.3644
105,164.063,-83.04
106,165.625,-92.142
107,167.188,-87.4019
108,168.75,-86.3334
109,170.313,-95.6141
110,171.875,-86.7941
111,173.438,-90.9282
112,175,-88.0909
113,176.563,-82.7043
114,178.125,-94.1947
115,179.688,-98.3649
116,181.25,-91.6766
117,182.813,-87.5929
118,184.375,-85.2524
119,185.938,-84.036
120,187.5,-82.6792
121,189.063,-88.5151
122,190.625,-90.8052
123,192.188,-83.0503
124,193.75,-91.1566
125,195.313,-83.6123
126,196.875,-80.2035
127,198.438,-81.6758
128,200,-86.513
129,201.563,-88.9318
130,203.125,-105.239
131,204.688,-86.4437
132,206.25,-87.7657
133,207.813,-99.596
134,209.375,-83.2388
135,210.938,-84.8197
136,212.5,-84.3745
137,214.063,-80.0564
138,215.625,-85.946
139,217.188,-71.9388
140,218.75,-56.905
141,220.313,-57.2533
142,221.875,-72.9652
143,223.438,-78.4997
144,225,-82.0411
145,226.563,-79.7357
146,228.125,-84.807
147,229.688,-88.4528
148,231.25,-90.8614
149,232.813,-87.5661
150,234.375,-82.9138
151,235.938,-82.8199
152,237.5,-90.0129
153,239.063,-93.5187
154,240.625,-103.228
155,242.188,-96.3646
156,243.75,-91.4844
157,245.313,-85.1473
158,246.875,-81.3558
159,248.438,-84.5886
160,250,-85.7873
161,251.563,-88.1968
162,253.125,-85.5823
163,254.688,-89.4507
164,256.25,-96.5678
165,257.813,-82.6922
166,259.375,-83.2853
167,260.938,-89.6034
168,262.5,-97.1368
169,264.063,-88.2545
170,265.625,-86.6479
171,267.188,-88.1673
172,268.75,-90.0863
173,270.313,-85.6438
174,271.875,-81.3381
175,273.438,-81.5919
176,275,-82.1369
177,276.563,-84.7222
178,278.125,-99.351
179,279.688,-89.4645
180,281.25,-88.8765
181,282.813,-86.494
182,284.375,-87.1125
183,285.938,-94.2133
184,287.5,-87.9918
185,289.063,-89.7961
186,290.625,-85.0591
187,292.188,-85.6002
188,293.75,-109.446
189,295.313,-86.3688
190,296.875,-83.6234
191,298.438,-83.7225
192,300,-83.1731
193,301.563,-88.5625
194,303.125,-84.2067
195,304.688,-95.0451
196,306.25,-90.4465
197,307.813,-87.5043
198,309.375,-86.3415
199,310.938,-85.6882
200,312.5,-92.2032
201,314.063,-88.3087
202,315.625,-80.3211
203,317.188,-81.2635
204,318.75,-88.013
205,320.313,-95.698
206,321.875,-92.2593
207,323.438,-85.7464
208,325,-85.6321
209,326.563,-85.1205
210,328.125,-90.8317
211,329.688,-79.7117
212,331.25,-78.2111
213,332.813,-81.8383
214,334.375,-85.0232
215,335.938,-85.3965
216,337.5,-84.9756
217,339.063,-88.8665
218,340.625,-90.3677
219,342.188,-89.2932
220,343.75,-91.6377
221,345.313,-90.5531
222,346.875,-88.4554
223,348.438,-92.6024
224,350,-93.4541
