Sample,Frequency(Hz),Amplitude CH1(dBFS)
0,0,-50.0218
1,1.5625,-52.302
2,3.125,-60.6258
3,4.6875,-64.6197
4,6.25,-62.6052
5,7.8125,-62.1058
6,9.375,-70.8841
7,10.9375,-76.4712
8,12.5,-95.7948
9,14.0625,-90.2984
10,15.625,-83.3564
11,17.1875,-82.29
12,18.75,-80.7003
13,20.3125,-85.0405
14,21.875,-84.5866
15,23.4375,-81.2878
16,25,-77.4551
17,26.5625,-80.4289
18,28.125,-76.9707
19,29.6875,-77.2868
20,31.25,-83.6319
21,32.8125,-80.356
22,34.375,-79.4371
23,35.9375,-88.9274
24,37.5,-87.9918
25,39.0625,-89.8866
26,40.625,-90.7913
27,42.1875,-86.0015
28,43.75,-96.0727
29,45.3125,-88.4828
30,46.875,-92.4517
31,48.4375,-88.0815
32,50,-91.9012
33,51.5625,-78.2678
34,53.125,-81.4723
35,54.6875,-90.4105
36,56.25,-84.9939
37,57.8125,-78.1335
38,59.375,-72.3061
39,60.9375,-74.8081
40,62.5,-81.764
41,64.0625,-80.8843
42,65.625,-81.2205
43,67.1875,-103.005
44,68.75,-92.9069
45,70.3125,-95.3872
46,71.875,-88.1567
47,73.4375,-86.8884
48,75,-89.8355
49,76.5625,-93.9804
50,78.125,-88.5792
51,79.6875,-82.8249
52,81.25,-86.433
53,82.8125,-88.6957
54,84.375,-84.3032
55,85.9375,-92.7894
56,87.5,-97.1565
57,89.0625,-83.7494
58,90.625,-84.4832
59,92.1875,-88.9307
60,93.75,-101.232
61,95.3125,-88.3561
62,96.875,-81.3337
63,98.4375,-87.2892
64,100,-88.1699
65,101.563,-93.9523
66,103.125,-88.1235
67,104.688,-84.333
68,106.25,-85.9043
69,107.813,-90.4713
70,109.375,-85.7833
71,110.938,-81.1377
72,112.5,-88.3503
73,114.063,-95.5566
74,115.625,-89.6671
75,117.188,-87.5021
76,118.75,-84.9483
77,120.313,-81.5594
78,121.875,-87.9228
79,123.438,-86.5564
80,125,-95.3314
81,126.563,-95.9662
82,128.125,-97.1489
83,129.688,-87.1914
84,131.25,-91.87
85,132.813,-100.336
86,134.375,-93.2503
87,135.938,-96.9743
88,137.5,-98.9083
89,139.063,-86.1841
90,140.625,-85.0062
91,142.188,-95.6909
92,143.75,-90.0335
93,145.313,-82.5212
94,146.875,-81.6732
95,148.438,-88.6527
96,150,-90.7353
97,151.563,-101.448
98,153.125,-88.0454
99,154.688,-86.0692
100,156.25,-89.9393
101,157.813,-87.075
102,159.375,-85.0639
103,160.938,-85.3185
104,162.5,-81.5569
105,164.063,-82.0089
106,165.625,-84.3954
107,167.188,-90.2043
108,168.75,-96.926
109,170.313,-86.4761
110,171.875,-86.3753
111,173.438,-86.6352
112,175,-83.2736
113,176.563,-87.6113
114,178.125,-89.3221
115,179.688,-85.8197
116,181.25,-81.6305
117,182.813,-88.278
118,184.375,-84.7283
119,185.938,-83.2252
120,187.5,-87.3645
121,189.063,-83.6808
122,190.625,-91.6786
123,192.188,-89.5442
124,193.75,-87.3129
125,195.313,-85.51
126,196.875,-91.4632
127,198.438,-90.5712
128,200,-89.7383
129,201.563,-89.0017
130,203.125,-88.0224
131,204.688,-82.543
132,206.25,-82.035
133,207.813,-90.7495
134,209.375,-89.6047
135,210.938,-96.4761
136,212.5,-97.6842
137,214.063,-90.4941
138,215.625,-95.2501
139,217.188,-88.6704
140,218.75,-91.5295
141,220.313,-84.1813
142,221.875,-86.074
143,223.438,-97.642
144,225,-87.9061
145,226.563,-91.4356
146,228.125,-86.7175
147,229.688,-97.5485
148,231.25,-89.5173
149,232.813,-90.3341
150,234.375,-94.3565
151,235.938,-86.5205
152,237.5,-94.0273
153,239.063,-82.0918
154,240.625,-77.0548
155,242.188,-91.0602
156,243.75,-90.3961
157,245.313,-73.3919
158,246.875,-63.7539
159,248.438,-68.2221
160,250,-81.1931
161,251.563,-81.979
162,253.125,-88.643
163,254.688,-85.5019
164,256.25,-88.142
165,257.813,-88.6403
