Sample,Frequency(Hz),Amplitude CH1(dBFS)
0,0,-39.2953
1,1.5625,-43.1514
2,3.125,-42.557
3,4.6875,-47.2448
4,6.25,-66.1993
5,7.8125,-59.8815
6,9.375,-57.4989
7,10.9375,-58.3214
8,12.5,-69.2358
9,14.0625,-68.6934
10,15.625,-79.2762
11,17.1875,-85.565
12,18.75,-85.6192
13,20.3125,-75.5775
14,21.875,-71.7322
15,23.4375,-70.8946
16,25,-69.3292
17,26.5625,-71.2618
18,28.125,-79.1797
19,29.6875,-79.8168
20,31.25,-79.9964
21,32.8125,-75.6189
22,34.375,-69.6271
23,35.9375,-77.6249
24,37.5,-82.3346
25,39.0625,-91.8387
26,40.625,-71.6009
27,42.1875,-72.3711
28,43.75,-78.3107
29,45.3125,-87.1769
30,46.875,-81.5489
31,48.4375,-89.0118
32,50,-87.3209
33,51.5625,-90.4696
34,53.125,-81.0317
35,54.6875,-82.2173
36,56.25,-85.9629
37,57.8125,-73.4288
38,59.375,-68.8706
39,60.9375,-71.9595
40,62.5,-76.9372
41,64.0625,-80.3203
42,65.625,-95.5363
43,67.1875,-86.9304
44,68.75,-86.3641
45,70.3125,-84.0331
46,71.875,-85.1154
47,73.4375,-85.3469
48,75,-84.8517
49,76.5625,-88.4035
50,78.125,-80.9138
51,79.6875,-81.3908
52,81.25,-108.609
53,82.8125,-92.5298
54,84.375,-87.3508
55,85.9375,-82.7526
56,87.5,-89.9985
57,89.0625,-83.9236
58,90.625,-91.9764
59,92.1875,-85.0907
60,93.75,-84.0592
61,95.3125,-91.3642
62,96.875,-86.2185
63,98.4375,-83.7258
64,100,-82.8298
65,101.563,-80.3673
66,103.125,-83.441
67,104.688,-84.0285
68,106.25,-85.5588
69,107.813,-88.2397
70,109.375,-89.4276
71,110.938,-80.0459
72,112.5,-75.9845
73,114.063,-74.6408
74,115.625,-77.1056
75,117.188,-79.7149
76,118.75,-90.5246
77,120.313,-89.9171
78,121.875,-83.0452
79,123.438,-83.2959
80,125,-87.0877
81,126.563,-85.9949
82,128.125,-82.8841
83,129.688,-85.827
84,131.25,-97.2656
85,132.813,-88.0103
86,134.375,-93.7219
87,135.938,-94.5643
88,137.5,-88.8047
89,139.063,-87.3565
90,140.625,-83.6586
91,142.188,-93.7908
92,143.75,-85.5408
93,145.313,-80.683
94,146.875,-70.3828
95,148.438,-66.281
96,150,-77.1084
97,151.563,-84.1621
98,153.125,-96.543
99,154.688,-86.6948
100,156.25,-89.5097
101,157.813,-98.0369
102,159.375,-87.1176
103,160.938,-86.9636
104,162.5,-95.3394
105,164.063,-82.5789
106,165.625,-83.566
107,167.188,-84.3367
108,168.75,-84.246
109,170.313,-84.4732
110,171.875,-84.27
111,173.438,-85.391
112,175,-87.6966
113,176.563,-102.574
114,178.125,-83.5204
115,179.688,-86.8725
116,181.25,-83.0987
117,182.813,-99.4876
118,184.375,-89.3218
119,185.938,-85.2235
120,187.5,-90.6093
121,189.063,-86.9759
122,190.625,-82.2132
123,192.188,-81.6822
124,193.75,-85.9542
125,195.313,-90.7415
126,196.875,-88.9539
127,198.438,-91.85
128,200,-90.8064
129,201.563,-93.7868
130,203.125,-80.9551
131,204.688,-82.2399
132,206.25,-83.3274
133,207.813,-77.6857
134,209.375,-78.3763
135,210.938,-89.3395
136,212.5,-87.1293
137,214.063,-91.0534
138,215.625,-83.9525
139,217.188,-97.9666
140,218.75,-87.8741
141,220.313,-79.8309
142,221.875,-80.7814
143,223.438,-84.7594
144,225,-85.155
145,226.563,-87.4829
146,228.125,-92.672
147,229.688,-82.7361
148,231.25,-82.3603
149,232.813,-82.6634
150,234.375,-81.5674
151,235.938,-85.285
152,237.5,-80.7838
153,239.063,-77.0108
154,240.625,-79.6216
155,242.188,-91.6397
156,243.75,-85.2744
157,245.313,-83.7467
158,246.875,-80.1642
159,248.438,-89.4267
160,250,-91.1497
161,251.563,-86.3248
162,253.125,-85.1365
163,254.688,-89.0506
164,256.25,-82.6376
165,257.813,-85.3657
166,259.375,-83.5994
167,260.938,-80.2886
168,262.5,-82.0331
169,264.063,-82.1458
170,265.625,-83.1731
171,267.188,-86.0254
172,268.75,-82.5327
173,270.313,-80.1442
174,271.875,-83.5306
175,273.438,-86.2981
176,275,-99.6811
177,276.563,-87.0734
178,278.125,-90.0446
179,279.688,-83.1781
180,281.25,-85.1878
181,282.813,-83.3257
182,284.375,-82.9341
183,285.938,-82.0266
184,287.5,-85.0703
185,289.063,-89.0908
186,290.625,-87.5279
187,292.188,-84.6975
188,293.75,-75.6394
189,295.313,-67.9589
190,296.875,-77.4134
191,298.438,-77.6161
192,300,-78.672
193,301.563,-75.8247
194,303.125,-83.5625
195,304.688,-89.3388
196,306.25,-91.9808
197,307.813,-94.2055
198,309.375,-96.5339
199,310.938,-83.2504
200,312.5,-94.6859
201,314.063,-83.4335
202,315.625,-88.8811
203,317.188,-88.6544
204,318.75,-90.5865
205,320.313,-90.6724
206,321.875,-100.784
207,323.438,-85.2408
208,325,-83.6037
209,326.563,-86.5334
210,328.125,-89.4371
211,329.688,-85.9135
212,331.25,-91.1812
213,332.813,-84.7032
214,334.375,-95.6082
215,335.938,-89.9293
216,337.5,-85.8859
217,339.063,-83.0322
218,340.625,-81.2338
219,342.188,-90.9082
220,343.75,-87.5473
221,345.313,-90.2236
222,346.875,-90.7264
223,348.438,-82.4437
224,350,-84.8009
225,351.563,-86.9212
226,353.125,-96.8108
227,354.688,-82.1243
228,356.25,-77.0277
229,357.813,-82.6361
230,359.375,-84.0725
231,360.938,-78.3687
232,362.5,-79.9133
233,364.063,-83.8102
234,365.625,-86.2889
235,367.188,-91.4325
236,368.75,-89.5243
237,370.313,-87.4052
238,371.875,-87.9876
239,373.438,-82.5095
240,375,-86.6448
241,376.563,-84.2297
242,378.125,-91.5034
243,379.688,-99.5211
244,381.25,-95.3234
245,382.813,-89.1215
246,384.375,-83.4388
247,385.938,-87.5285
248,387.5,-85.6182
249,389.063,-83.46
