Sample,Frequency(Hz),Amplitude CH1(dBFS)
0,0,-39.6503
1,1.5625,-47.452
2,3.125,-56.636
3,4.6875,-53.306
4,6.25,-62.3118
5,7.8125,-79.7461
6,9.375,-69.9214
7,10.9375,-67.8719
8,12.5,-67.6749
9,14.0625,-75.3107
10,15.625,-75.2539
11,17.1875,-89.3024
12,18.75,-87.9193
13,20.3125,-80.6411
14,21.875,-90.1206
15,23.4375,-81.887
16,25,-82.8655
17,26.5625,-83.1893
18,28.125,-84.4803
19,29.6875,-92.3715
20,31.25,-92.7295
21,32.8125,-84.8508
22,34.375,-82.6337
23,35.9375,-84.0992
24,37.5,-83.5176
25,39.0625,-94.1327
26,40.625,-99.5819
27,42.1875,-90.9892
28,43.75,-90.4002
29,45.3125,-90.8614
30,46.875,-102.698
31,48.4375,-84.96
32,50,-84.5067
33,51.5625,-83.5222
34,53.125,-88.1946
35,54.6875,-83.1501
36,56.25,-76.4838
37,57.8125,-79.5322
38,59.375,-73.013
39,60.9375,-73.3498
40,62.5,-85.8674
41,64.0625,-83.7271
42,65.625,-79.7499
43,67.1875,-81.0368
44,68.75,-82.4346
45,70.3125,-85.5547
46,71.875,-83.6213
47,73.4375,-84.2046
48,75,-98.0459
49,76.5625,-84.8478
50,78.125,-84.1847
51,79.6875,-99.8431
52,81.25,-95.8748
53,82.8125,-96.8685
54,84.375,-87.291
55,85.9375,-85.3947
56,87.5,-94.9028
57,89.0625,-80.9207
58,90.625,-80.8545
59,92.1875,-87.1747
60,93.75,-112.628
61,95.3125,-89.0125
62,96.875,-96.0744
63,98.4375,-94.2161
64,100,-87.0723
65,101.563,-87.3713
66,103.125,-81.3298
67,104.688,-97.2218
68,106.25,-82.1928
69,107.813,-83.4081
70,109.375,-87.0609
71,110.938,-90.6565
72,112.5,-92.6773
73,114.063,-88.015
74,115.625,-82.6572
75,117.188,-81.9533
76,118.75,-86.1178
77,120.313,-88.3452
78,121.875,-89.8665
79,123.438,-98.0104
80,125,-87.2659
81,126.563,-83.4049
82,128.125,-78.0673
83,129.688,-81.7339
84,131.25,-89.7376
85,132.813,-84.937
86,134.375,-80.781
87,135.938,-84.3132
88,137.5,-98.4966
89,139.063,-98.5803
90,140.625,-96.4656
91,142.188,-88.2074
92,143.75,-85.0878
93,145.313,-85.6939
94,146.875,-82.8671
95,148.438,-81.3039
96,150,-82.0513
97,151.563,-84.9787
98,153.125,-90.8656
99,154.688,-87.5882
100,156.25,-84.4244
101,157.813,-83.457
102,159.375,-105.665
103,160.938,-81.6879
104,162.5,-117.575
105,164.063,-83.5717
106,165.625,-81.0575
107,167.188,-89.9012
108,168.75,-89.48
109,170.313,-89.1288
110,171.875,-94.6735
111,173.438,-83.1841
112,175,-88.9559
113,176.563,-93.6473
114,178.125,-93.6734
115,179.688,-86.1208
116,181.25,-87.0589
117,182.813,-90.4671
118,184.375,-92.677
119,185.938,-89.9057
120,187.5,-85.5562
121,189.063,-84.1695
122,190.625,-91.7593
123,192.188,-84.5925
124,193.75,-71.5116
125,195.313,-69.1622
126,196.875,-79.5517
127,198.438,-91.3118
128,200,-82.8633
129,201.563,-78.4555
130,203.125,-79.9297
131,204.688,-82.422
132,206.25,-82.8013
133,207.813,-83.2291
134,209.375,-80.7775
135,210.938,-79.6985
136,212.5,-83.1141
137,214.063,-82.6599
138,215.625,-85.4702
139,217.188,-90.4118
140,218.75,-90.3157
141,220.313,-79.7981
142,221.875,-80.6226
143,223.438,-84.8339
144,225,-87.7518
145,226.563,-87.638
146,228.125,-83.883
147,229.688,-82.4808
148,231.25,-83.0782
149,232.813,-89.9547
150,234.375,-88.5764
151,235.938,-89.4634
152,237.5,-86.6108
153,239.063,-95.1462
154,240.625,-85.4499
155,242.188,-84.1086
