Sample,Frequency(Hz),Amplitude CH1(dBFS)
0,0,-51.3958
1,1.5625,-55.7842
2,3.125,-70.2109
3,4.6875,-69.2445
4,6.25,-74.7128
5,7.8125,-77.0546
6,9.375,-81.6641
7,10.9375,-90.3573
8,12.5,-89.3083
9,14.0625,-79.8078
10,15.625,-86.4749
11,17.1875,-84.2598
12,18.75,-85.2726
13,20.3125,-86.7045
14,21.875,-97.5631
15,23.4375,-98.975
16,25,-93.1842
17,26.5625,-84.3425
18,28.125,-80.3975
19,29.6875,-93.4715
20,31.25,-80.5625
21,32.8125,-79.3322
22,34.375,-81.0074
23,35.9375,-84.2489
24,37.5,-87.0249
25,39.0625,-81.3
26,40.625,-84.7422
27,42.1875,-89.0677
28,43.75,-85.381
29,45.3125,-85.4324
30,46.875,-90.2914
31,48.4375,-83.1436
32,50,-77.9219
33,51.5625,-69.8975
34,53.125,-63.978
35,54.6875,-62.7772
36,56.25,-64.3444
37,57.8125,-67.5067
38,59.375,-71.4798
39,60.9375,-71.5848
40,62.5,-76.1694
41,64.0625,-79.1367
42,65.625,-77.9172
43,67.1875,-76.4554
44,68.75,-78.7892
45,70.3125,-80.6922
46,71.875,-78.3452
47,73.4375,-74.7814
48,75,-72.7965
49,76.5625,-70.8748
50,78.125,-70.3229
51,79.6875,-70.3731
52,81.25,-69.1986
53,82.8125,-68.6806
54,84.375,-70.2161
55,85.9375,-73.8957
56,87.5,-80.9858
57,89.0625,-83.3142
58,90.625,-83.0532
59,92.1875,-93.4763
60,93.75,-88.6394
61,95.3125,-85.673
62,96.875,-83.144
63,98.4375,-79.2685
64,100,-88.3775
65,101.563,-86.9718
66,103.125,-90.3227
67,104.688,-80.1449
68,106.25,-83.7993
69,107.813,-79.3011
70,109.375,-78.6591
71,110.938,-80.9786
72,112.5,-82.5617
73,114.063,-83.8403
74,115.625,-84.9174
75,117.188,-93.9016
76,118.75,-99.7252
77,120.313,-97.6538
78,121.875,-81.1771
79,123.438,-81.1272
80,125,-87.312
81,126.563,-87.2048
82,128.125,-76.8982
83,129.688,-74.9526
84,131.25,-78.1276
