Sample,Frequency(Hz),Amplitude CH1(dBFS)
0,0,-43.5666
1,1.5625,-49.3026
2,3.125,-51.2493
3,4.6875,-53.1191
4,6.25,-49.4574
5,7.8125,-60.0402
6,9.375,-54.6945
7,10.9375,-58.291
8,12.5,-62.4648
9,14.0625,-66.4475
10,15.625,-62.1985
11,17.1875,-67.1947
12,18.75,-68.2238
13,20.3125,-71.038
14,21.875,-70.6269
15,23.4375,-71.2546
16,25,-75.9768
17,26.5625,-74.4187
18,28.125,-89.4099
19,29.6875,-73.049
20,31.25,-80.6473
21,32.8125,-85.3538
22,34.375,-88.4455
23,35.9375,-78.6311
24,37.5,-89.9998
25,39.0625,-86.8172
26,40.625,-80.8592
27,42.1875,-79.0778
28,43.75,-83.7431
29,45.3125,-80.0317
30,46.875,-83.2565
31,48.4375,-82.2585
32,50,-79.8497
33,51.5625,-77.8027
34,53.125,-78.3618
35,54.6875,-79.1368
36,56.25,-89.3148
37,57.8125,-84.2561
38,59.375,-74.541
39,60.9375,-79.1831
40,62.5,-88.7595
41,64.0625,-88.7508
42,65.625,-96.7129
43,67.1875,-92.2377
44,68.75,-92.4799
45,70.3125,-87.1253
46,71.875,-91.0546
47,73.4375,-89.2241
48,75,-76.3508
49,76.5625,-78.9767
50,78.125,-76.4662
51,79.6875,-75.7026
52,81.25,-64.4677
53,82.8125,-57.1538
54,84.375,-66.4541
55,85.9375,-74.0834
56,87.5,-78.5471
57,89.0625,-80.9711
58,90.625,-81.151
59,92.1875,-85.1863
60,93.75,-86.6607
61,95.3125,-79.8384
62,96.875,-79.7534
63,98.4375,-86.2594
64,100,-89.5173
65,101.563,-88.2462
66,103.125,-88.2469
67,104.688,-86.7788
68,106.25,-95.4226
69,107.813,-81.4395
70,109.375,-78.0455
71,110.938,-84.9382
72,112.5,-87.9905
73,114.063,-87.1665
74,115.625,-85.1581
75,117.188,-85.9004
76,118.75,-98.2105
77,120.313,-93.0549
78,121.875,-86.2262
79,123.438,-83.8288
80,125,-84.73
81,126.563,-86.9193
82,128.125,-99.5132
83,129.688,-89.3205
84,131.25,-84.7884
85,132.813,-85.2691
86,134.375,-81.5656
87,135.938,-81.4487
88,137.5,-85.9689
89,139.063,-90.1823
90,140.625,-92.773
91,142.188,-85.668
92,143.75,-86.7269
93,145.313,-88.5057
94,146.875,-81.6605
95,148.438,-80.5339
96,150,-84.7749
97,151.563,-86.3043
98,153.125,-87.3346
99,154.688,-88.3015
100,156.25,-90.9482
101,157.813,-81.7474
102,159.375,-85.3977
103,160.938,-82.1114
104,162.5,-77.4244
105,164.063,-71.9041
106,165.625,-66.392
107,167.188,-75.1659
108,168.75,-84.8088
109,170.313,-87.0461
110,171.875,-88.9702
111,173.438,-87.6527
112,175,-85.4199
113,176.563,-91.9074
114,178.125,-97.3278
115,179.688,-84.0429
116,181.25,-86.644
117,182.813,-93.7634
118,184.375,-84.3449
119,185.938,-80.881
120,187.5,-77.8439
121,189.063,-80.971
122,190.625,-86.3859
123,192.188,-87.929
124,193.75,-92.1402
125,195.313,-85.5474
126,196.875,-85.2931
127,198.438,-95.3103
128,200,-84.8217
129,201.563,-84.7349
130,203.125,-93.1019
131,204.688,-89.3298
132,206.25,-85.0029
133,207.813,-80.5528
134,209.375,-80.5835
135,210.938,-84.4489
136,212.5,-88.1202
137,214.063,-93.8603
138,215.625,-91.618
139,217.188,-91.3737
140,218.75,-86.2307
141,220.313,-92.0857
142,221.875,-88.8828
143,223.438,-96.629
144,225,-85.0015
145,226.563,-85.8321
146,228.125,-82.7043
147,229.688,-90.1423
148,231.25,-86.5026
149,232.813,-89.4971
150,234.375,-85.1608
151,235.938,-82.3607
152,237.5,-93.184
153,239.063,-83.1107
154,240.625,-86.183
155,242.188,-85.1309
156,243.75,-85.6527
157,245.313,-80.5501
158,246.875,-78.4664
159,248.438,-76.4294
160,250,-98.759
161,251.563,-84.5634
162,253.125,-90.9061
163,254.688,-90.5635
164,256.25,-113.703
165,257.813,-87.0368
166,259.375,-83.6849
167,260.938,-87.8874
168,262.5,-88.9158
169,264.063,-87.8177
170,265.625,-88.3131
171,267.188,-93.4675
172,268.75,-84.6725
173,270.313,-83.6233
174,271.875,-94.5895
175,273.438,-98.2357
176,275,-87.3367
177,276.563,-95.2175
178,278.125,-82.2173
179,279.688,-83.5859
180,281.25,-84.9858
181,282.813,-85.9035
182,284.375,-85.9954
183,285.938,-79.5816
184,287.5,-83.3202
185,289.063,-88.436
186,290.625,-88.7434
187,292.188,-82.7673
188,293.75,-82.7067
189,295.313,-87.1398
190,296.875,-89.5119
191,298.438,-86.6534
192,300,-86.9514
193,301.563,-85.5174
194,303.125,-88.4237
195,304.688,-94.6768
196,306.25,-87.7944
197,307.813,-90.5589
198,309.375,-84.2629
199,310.938,-87.6071
200,312.5,-85.2
201,314.063,-84.6912
202,315.625,-84.1295
203,317.188,-85.8952
204,318.75,-89.491
205,320.313,-89.8439
206,321.875,-85.3427
207,323.438,-89.3176
208,325,-83.7128
209,326.563,-86.9945
210,328.125,-89.857
211,329.688,-76.5101
212,331.25,-68.3435
213,332.813,-75.0561
214,334.375,-84.5382
215,335.938,-94.3935
216,337.5,-89.4431
217,339.063,-87.8024
218,340.625,-93.6315
219,342.188,-97.3269
220,343.75,-93.4074
221,345.313,-86.636
222,346.875,-86.1967
223,348.438,-84.2477
224,350,-86.5773
225,351.563,-84.2087
226,353.125,-90.3235
227,354.688,-86.74
228,356.25,-82.6144
229,357.813,-86.5303
230,359.375,-94.2867
231,360.938,-90.027
232,362.5,-82.3006
233,364.063,-83.5277
234,365.625,-89.9751
235,367.188,-88.9536
236,368.75,-82.3042
237,370.313,-88.6323
238,371.875,-92.474
239,373.438,-90.4117
240,375,-85.6475
241,376.563,-86.5716
242,378.125,-89.6693
243,379.688,-87.9327
244,381.25,-88.5602
245,382.813,-97.4821
246,384.375,-97.9458
247,385.938,-91.1309
248,387.5,-89.114
249,389.063,-84.2394
250,390.625,-89.7051
251,392.188,-84.7512
252,393.75,-84.0335
253,395.313,-83.1573
254,396.875,-86.0551
255,398.438,-91.2904
