Sample,Frequency(Hz),Amplitude CH1(dBV)
0,0,-14.4184
1,1.5625,-19.8085
2,3.125,-34.3765
3,4.6875,-23.3259
4,6.25,-19.1125
5,7.8125,-21.2343
6,9.375,-29.7857
7,10.9375,-36.8927
8,12.5,-32.4894
9,14.0625,-32.4413
10,15.625,-35.0016
11,17.1875,-52.838
12,18.75,-39.2309
13,20.3125,-39.8031
14,21.875,-45.7805
15,23.4375,-45.9765
16,25,-45.1488
17,26.5625,-46.9029
18,28.125,-45.0307
19,29.6875,-49.6439
20,31.25,-57.8907
21,32.8125,-59.2493
22,34.375,-49.4317
23,35.9375,-56.4478
24,37.5,-49.3085
25,39.0625,-53.8224
26,40.625,-47.3355
27,42.1875,-49.6727
28,43.75,-52.168
29,45.3125,-51.1058
30,46.875,-57.0562
31,48.4375,-52.6624
32,50,-57.3029
33,51.5625,-51.4753
34,53.125,-59.3625
35,54.6875,-48.2248
36,56.25,-49.7447
37,57.8125,-29.7774
38,59.375,-15.5577
39,60.9375,-16.9228
40,62.5,-36.7078
41,64.0625,-57.6043
42,65.625,-57.5425
43,67.1875,-52.0378
44,68.75,-51.2217
45,70.3125,-67.2236
46,71.875,-45.1449
47,73.4375,-53.3615
48,75,-22.1115
49,76.5625,-12.1733
50,78.125,-17.232
51,79.6875,-45.7774
52,81.25,-54.7337
53,82.8125,-51.5678
54,84.375,-49.6724
55,85.9375,-53.6518
56,87.5,-54.548
57,89.0625,-59.018
58,90.625,-57.7184
59,92.1875,-59.0631
60,93.75,-55.6051
61,95.3125,-49.1732
62,96.875,-49.1273
63,98.4375,-60.9924
64,100,-60.31
65,101.563,-59.4363
66,103.125,-48.4045
67,104.688,-47.562
68,106.25,-66.3962
69,107.813,-56.8914
70,109.375,-57.6445
71,110.938,-56.7513
72,112.5,-67.7485
73,114.063,-54.5582
74,115.625,-54.2735
75,117.188,-51.3116
76,118.75,-28.2882
77,120.313,-23.8173
78,121.875,-33.8857
79,123.438,-65.6068
80,125,-53.4145
81,126.563,-51.8664
82,128.125,-54.213
83,129.688,-55.0155
84,131.25,-64.6589
85,132.813,-55.9127
86,134.375,-56.0153
87,135.938,-54.0666
88,137.5,-54.7604
89,139.063,-66.2246
90,140.625,-68.8056
91,142.188,-57.1282
92,143.75,-57.921
93,145.313,-51.1388
94,146.875,-50.5245
95,148.438,-53.1474
96,150,-66.7588
97,151.563,-43.4077
98,153.125,-30.7044
99,154.688,-35.1616
100,156.25,-52.7466
101,157.813,-67.1713
102,159.375,-67.4469
103,160.938,-52.9407
104,162.5,-51.9412
105,164.063,-49.6748
106,165.625,-51.6573
107,167.188,-60.5167
108,168.75,-72.5182
109,170.313,-64.2132
110,171.875,-60.1023
111,173.438,-55.593
112,175,-60.963
113,176.563,-66.2929
114,178.125,-62.074
115,179.688,-54.2486
116,181.25,-51.5428
117,182.813,-49.746
118,184.375,-57.7177
119,185.938,-60.9775
120,187.5,-55.5606
121,189.063,-51.3902
122,190.625,-49.1844
123,192.188,-53.5065
124,193.75,-55.7355
125,195.313,-52.7525
126,196.875,-52.4763
127,198.438,-58.1654
128,200,-65.3274
129,201.563,-58.6805
130,203.125,-55.868
131,204.688,-58.3962
132,206.25,-69.0838
133,207.813,-69.7331
134,209.375,-55.1865
135,210.938,-50.9076
136,212.5,-54.555
137,214.063,-56.149
138,215.625,-50.8239
139,217.188,-53.8034
140,218.75,-52.8425
141,220.313,-50.9573
142,221.875,-59.0019
143,223.438,-56.8924
144,225,-57.9495
145,226.563,-60.1487
146,228.125,-46.0861
147,229.688,-34.5916
148,231.25,-36.9131
149,232.813,-53.7747
150,234.375,-53.8476
151,235.938,-52.2962
152,237.5,-53.1412
153,239.063,-40.7682
154,240.625,-39.7443
155,242.188,-55.6913
156,243.75,-53.5935
157,245.313,-57.5404
158,246.875,-53.8003
159,248.438,-50.8406
160,250,-51.906
161,251.563,-52.2446
162,253.125,-55.4787
163,254.688,-52.9114
164,256.25,-57.466
165,257.813,-73.2054
166,259.375,-53.8651
167,260.938,-51.9191
168,262.5,-58.248
169,264.063,-60.4885
170,265.625,-54.4657
171,267.188,-49.5965
172,268.75,-50.503
173,270.313,-55.9704
174,271.875,-57.0219
175,273.438,-57.7281
176,275,-59.1802
177,276.563,-57.86
178,278.125,-51.9473
179,279.688,-51.0701
180,281.25,-49.9615
181,282.813,-59.9007
182,284.375,-59.6077
183,285.938,-56.5379
184,287.5,-51.8282
185,289.063,-53.0956
186,290.625,-59.4606
187,292.188,-54.9875
188,293.75,-54.3074
189,295.313,-57.675
190,296.875,-62.9588
191,298.438,-72.4603
192,300,-54.2203
193,301.563,-52.5679
194,303.125,-51.9533
195,304.688,-47.5794
196,306.25,-47.1805
197,307.813,-42.2082
198,309.375,-44.8008
199,310.938,-53.3057
200,312.5,-54.9374
201,314.063,-62.8765
202,315.625,-56.1558
203,317.188,-50.1763
204,318.75,-58.6806
205,320.313,-61.2798
206,321.875,-57.8809
207,323.438,-55.2652
208,325,-55.3351
209,326.563,-60.7171
210,328.125,-59.555
211,329.688,-53.6962
212,331.25,-61.9416
213,332.813,-61.5458
214,334.375,-56.6673
215,335.938,-50.1392
216,337.5,-40.4976
217,339.063,-43.7565
218,340.625,-52.3046
219,342.188,-62.3346
220,343.75,-51.3039
221,345.313,-56.1609
222,346.875,-51.5984
223,348.438,-57.4738
224,350,-57.2001
225,351.563,-60.237
226,353.125,-58.5783
227,354.688,-53.4625
228,356.25,-50.7484
229,357.813,-52.5425
230,359.375,-48.9669
231,360.938,-49.0544
232,362.5,-52.2561
233,364.063,-55.1809
234,365.625,-63.1107
235,367.188,-69.4941
236,368.75,-60.0994
237,370.313,-60.1679
238,371.875,-64.9619
239,373.438,-63.8887
240,375,-61.0979
241,376.563,-54.6924
242,378.125,-52.8117
243,379.688,-51.694
244,381.25,-53.6908
245,382.813,-52.4467
246,384.375,-40.9047
247,385.938,-47.9509
248,387.5,-50.7865
249,389.063,-52.5092
250,390.625,-56.7083
251,392.188,-57.109
252,393.75,-54.6477
253,395.313,-52.3295
254,396.875,-54.1622
255,398.438,-56.3377
