;Scopy version,438f138
;Exported on,Wednesday April 02/04/2025
;Device,M2K
;Nr of samples,256
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Sample,Hamming,1,Sample,Hamming,1,
Sample,Frequency(Hz),Amplitude CH1(dBV),Amplitude CH2(dBV)
0,0,-14.4184,-19.0749
1,1.5625,-19.8085,-26.4834
2,3.125,-34.3765,-55.2168
3,4.6875,-23.3259,-55.4485
4,6.25,-19.1125,-63.9998
5,7.8125,-21.2343,-60.5541
6,9.375,-29.7857,-59.0553
7,10.9375,-36.8927,-59.0599
8,12.5,-32.4894,-64.8986
9,14.0625,-32.4413,-66.4558
10,15.625,-35.0016,-56.1176
11,17.1875,-52.838,-60.4078
12,18.75,-39.2309,-58.9345
13,20.3125,-39.8031,-57.7999
14,21.875,-45.7805,-62.797
15,23.4375,-45.9765,-66.3229
16,25,-45.1488,-61.7092
17,26.5625,-46.9029,-70.4564
18,28.125,-45.0307,-60.4757
19,29.6875,-49.6439,-67.4533
20,31.25,-57.8907,-63.5874
21,32.8125,-59.2493,-73.9178
22,34.375,-49.4317,-58.0682
23,35.9375,-56.4478,-59.5362
24,37.5,-49.3085,-58.8468
25,39.0625,-53.8224,-58.6689
26,40.625,-47.3355,-56.1977
27,42.1875,-49.6727,-59.8749
28,43.75,-52.168,-62.9193
29,45.3125,-51.1058,-56.8661
30,46.875,-57.0562,-63.1294
31,48.4375,-52.6624,-70.8915
32,50,-57.3029,-67.9198
33,51.5625,-51.4753,-62.8856
34,53.125,-59.3625,-67.3948
35,54.6875,-48.2248,-65.0633
36,56.25,-49.7447,-62.305
37,57.8125,-29.7774,-54.9148
38,59.375,-15.5577,-47.1911
39,60.9375,-16.9228,-50.637
40,62.5,-36.7078,-81.9019
41,64.0625,-57.6043,-65.4369
42,65.625,-57.5425,-67.829
43,67.1875,-52.0378,-58.1211
44,68.75,-51.2217,-58.7928
45,70.3125,-67.2236,-61.2927
46,71.875,-45.1449,-68.3759
47,73.4375,-53.3615,-67.4095
48,75,-22.1115,-70.4357
49,76.5625,-12.1733,-58.621
50,78.125,-17.232,-65.3482
51,79.6875,-45.7774,-71.6374
52,81.25,-54.7337,-54.9479
53,82.8125,-51.5678,-52.2611
54,84.375,-49.6724,-60.5051
55,85.9375,-53.6518,-55.0614
56,87.5,-54.548,-51.0081
57,89.0625,-59.018,-53.9954
58,90.625,-57.7184,-55.6539
59,92.1875,-59.0631,-50.3768
60,93.75,-55.6051,-53.188
61,95.3125,-49.1732,-69.4827
62,96.875,-49.1273,-65.8242
63,98.4375,-60.9924,-61.2163
64,100,-60.31,-54.4729
65,101.563,-59.4363,-57.7294
66,103.125,-48.4045,-69.4742
67,104.688,-47.562,-64.2558
68,106.25,-66.3962,-54.7113
69,107.813,-56.8914,-55.1805
70,109.375,-57.6445,-63.5573
71,110.938,-56.7513,-65.6154
72,112.5,-67.7485,-73.4075
73,114.063,-54.5582,-59.2494
74,115.625,-54.2735,-56.4147
75,117.188,-51.3116,-56.1545
76,118.75,-28.2882,-54.1014
77,120.313,-23.8173,-50.0189
78,121.875,-33.8857,-59.4489
79,123.438,-65.6068,-60.7693
80,125,-53.4145,-68.9254
81,126.563,-51.8664,-56.8773
82,128.125,-54.213,-59.2345
83,129.688,-55.0155,-61.3497
84,131.25,-64.6589,-55.4811
85,132.813,-55.9127,-69.3848
86,134.375,-56.0153,-55.5663
87,135.938,-54.0666,-57.5953
88,137.5,-54.7604,-54.0919
89,139.063,-66.2246,-57.5893
90,140.625,-68.8056,-58.6609
91,142.188,-57.1282,-61.7749
92,143.75,-57.921,-55.1145
93,145.313,-51.1388,-56.751
94,146.875,-50.5245,-58.6313
95,148.438,-53.1474,-59.8737
96,150,-66.7588,-59.0104
97,151.563,-43.4077,-56.2147
98,153.125,-30.7044,-56.9176
99,154.688,-35.1616,-61.8325
100,156.25,-52.7466,-63.4715
101,157.813,-67.1713,-64.7058
102,159.375,-67.4469,-60.5595
103,160.938,-52.9407,-62.3022
104,162.5,-51.9412,-61.8687
105,164.063,-49.6748,-79.6929
106,165.625,-51.6573,-71.9005
107,167.188,-60.5167,-66.4339
108,168.75,-72.5182,-63.0716
109,170.313,-64.2132,-62.0459
110,171.875,-60.1023,-65.2219
111,173.438,-55.593,-55.3516
112,175,-60.963,-54.1689
113,176.563,-66.2929,-55.83
114,178.125,-62.074,-55.7359
115,179.688,-54.2486,-51.5364
116,181.25,-51.5428,-56.4576
117,182.813,-49.746,-83.4032
118,184.375,-57.7177,-60.4553
119,185.938,-60.9775,-58.8844
120,187.5,-55.5606,-57.3047
121,189.063,-51.3902,-59.1507
122,190.625,-49.1844,-54.6668
123,192.188,-53.5065,-53.2007
124,193.75,-55.7355,-55.3166
125,195.313,-52.7525,-56.5382
126,196.875,-52.4763,-63.509
