;Scopy version,438f138
;Exported on,Wednesday April 02/04/2025
;Device,M2K
;Nr of samples,256
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Sample,Hamming,1,Sample,Hamming,1,
Sample,Frequency(Hz),Amplitude CH1(dBV),Amplitude CH2(dBV)
0,0,-7.44124,-19.0164
1,1.5625,-11.7685,-26.3596
2,3.125,-19.1485,-64.7588
3,4.6875,-25.6827,-59.6093
4,6.25,-25.2585,-57.178
5,7.8125,-22.4935,-58.3408
6,9.375,-31.4435,-66.2773
7,10.9375,-35.2513,-65.8108
8,12.5,-31.974,-56.5101
9,14.0625,-27.4423,-54.3201
10,15.625,-35.3651,-61.0418
11,17.1875,-40.2776,-63.6834
12,18.75,-35.9119,-61.0661
13,20.3125,-33.0077,-55.9495
14,21.875,-33.8989,-60.1003
15,23.4375,-46.0529,-58.9685
16,25,-52.0964,-61.6626
17,26.5625,-46.293,-53.4134
18,28.125,-44.2304,-56.6998
19,29.6875,-38.0367,-58.5525
20,31.25,-36.9028,-57.5642
21,32.8125,-39.0844,-59.2707
22,34.375,-43.8092,-56.1369
23,35.9375,-49.2034,-58.7037
24,37.5,-47.7465,-61.5097
25,39.0625,-47.4574,-68.2899
26,40.625,-44.1853,-59.7228
27,42.1875,-47.6387,-62.8291
28,43.75,-41.7739,-69.5268
29,45.3125,-46.9662,-76.1578
30,46.875,-43.4605,-67.7231
31,48.4375,-41.2836,-58.4171
32,50,-42.4448,-55.3403
33,51.5625,-46.2986,-56.7162
34,53.125,-48.8827,-61.798
35,54.6875,-51.8823,-56.1724
36,56.25,-43.3606,-56.9642
37,57.8125,-30.7117,-64.6534
38,59.375,-14.5388,-49.8322
39,60.9375,-15.8175,-50.3125
40,62.5,-36.6033,-60.3844
41,64.0625,-54.7678,-66.6836
42,65.625,-48.3934,-58.8333
43,67.1875,-57.0563,-60.2391
44,68.75,-56.9839,-62.217
45,70.3125,-55.6516,-60.1717
46,71.875,-53.0216,-63.2153
47,73.4375,-45.1333,-64.5335
48,75,-23.8315,-62.1047
49,76.5625,-17.0326,-60.837
50,78.125,-25.4033,-58.9757
51,79.6875,-49.8963,-57.742
52,81.25,-39.4978,-59.7269
53,82.8125,-46.3767,-62.1051
54,84.375,-52.1444,-57.2045
55,85.9375,-59.0878,-59.2537
56,87.5,-55.3251,-61.9438
57,89.0625,-58.623,-57.156
58,90.625,-76.1982,-59.3865
59,92.1875,-57.0013,-67.3868
60,93.75,-56.2977,-64.9958
61,95.3125,-69.7332,-61.3775
62,96.875,-50.1899,-59.8841
63,98.4375,-54.4597,-67.5216
64,100,-33.8976,-57.5563
65,101.563,-19.954,-57.7801
66,103.125,-21.9129,-62.9993
67,104.688,-42.4918,-75.2301
68,106.25,-66.0243,-58.0192
69,107.813,-53.1526,-56.5278
70,109.375,-54.8439,-59.8275
71,110.938,-52.0352,-66.4169
72,112.5,-50.6283,-67.6407
73,114.063,-50.0262,-60.9914
74,115.625,-52.0184,-64.5315
75,117.188,-53.1336,-57.3588
76,118.75,-27.6522,-58.2664
77,120.313,-23.2527,-50.6188
78,121.875,-33.6921,-57.8529
79,123.438,-64.5508,-61.3955
80,125,-48.5834,-69.288
81,126.563,-44.5515,-62.9168
82,128.125,-48.543,-63.4641
83,129.688,-54.5157,-63.4488
84,131.25,-68.7643,-58.2027
85,132.813,-62.5178,-62.0771
86,134.375,-70.9382,-69.7646
87,135.938,-56.4336,-57.5079
88,137.5,-59.3455,-59.514
89,139.063,-42.4001,-71.8048
90,140.625,-35.3268,-66.1482
91,142.188,-42.5376,-60.9195
92,143.75,-62.6783,-65.4249
93,145.313,-90.3878,-57.5808
94,146.875,-58.1197,-55.7399
95,148.438,-59.5571,-59.0405
96,150,-60.3359,-56.3323
97,151.563,-41.48,-57.0629
98,153.125,-33.3438,-61.3509
99,154.688,-33.619,-58.1915
100,156.25,-51.2994,-56.8561
101,157.813,-59.0308,-60.9148
102,159.375,-53.0411,-61.9941
103,160.938,-53.9125,-67.5922
104,162.5,-58.9104,-57.1204
105,164.063,-54.6155,-59.528
106,165.625,-54.1441,-65.1258
107,167.188,-45.9319,-71.2066
108,168.75,-51.5688,-58.6871
109,170.313,-71.0031,-58.6946
110,171.875,-64.8234,-61.7111
111,173.438,-67.7195,-55.0619
112,175,-69.458,-53.9377
113,176.563,-89.974,-56.2489
114,178.125,-65.5587,-70.6223
115,179.688,-61.805,-58.5316
116,181.25,-70.9319,-61.1818
117,182.813,-49.9509,-59.9955
118,184.375,-42.7919,-58.8778
119,185.938,-47.4096,-70.947
120,187.5,-52.125,-66.4215
121,189.063,-45.2804,-65.9802
122,190.625,-48.3965,-61.6518
123,192.188,-57.1697,-60.5579
124,193.75,-52.0789,-58.2663
125,195.313,-43.3115,-59.9612
126,196.875,-47.6789,-66.9208
127,198.438,-42.5326,-75.8462
128,200,-25.3489,-73.6142
129,201.563,-25.6551,-66.8836
130,203.125,-27.8184,-65.7598
131,204.688,-21.1334,-72.7973
132,206.25,-27.7505,-58.1769
133,207.813,-59.1023,-60.9851
134,209.375,-52.5474,-66.6594
135,210.938,-66.4526,-55.7325
136,212.5,-50.1572,-56.4203
137,214.063,-58.864,-57.6016
138,215.625,-53.4937,-56.6016
