Sample,Frequency(Hz),Amplitude CH1(dBFS)
0,0,-32.7579
1,1.5625,-41.4424
2,3.125,-57.4305
3,4.6875,-50.0907
4,6.25,-78.8762
5,7.8125,-57.1496
6,9.375,-56.9516
7,10.9375,-56.4224
8,12.5,-59.925
9,14.0625,-67.3907
10,15.625,-68.351
11,17.1875,-76.7134
12,18.75,-72.6777
13,20.3125,-79.9555
14,21.875,-78.5171
15,23.4375,-74.8131
16,25,-73.512
17,26.5625,-76.3651
18,28.125,-82.595
19,29.6875,-73.3246
20,31.25,-80.8106
21,32.8125,-79.1333
22,34.375,-93.3903
23,35.9375,-96.0569
24,37.5,-78.4968
25,39.0625,-81.9223
26,40.625,-88.2864
27,42.1875,-86.4725
28,43.75,-90.4379
29,45.3125,-79.1781
30,46.875,-84.4713
31,48.4375,-90.5564
32,50,-72.1346
33,51.5625,-72.1482
34,53.125,-77.785
35,54.6875,-86.1928
36,56.25,-79.6764
37,57.8125,-79.0081
38,59.375,-74.9827
39,60.9375,-72.5664
40,62.5,-73.4249
41,64.0625,-81.0663
42,65.625,-76.4503
43,67.1875,-83.9877
44,68.75,-85.9212
45,70.3125,-88.7353
46,71.875,-82.6535
47,73.4375,-78.9351
48,75,-80.6488
49,76.5625,-91.9262
50,78.125,-81.086
51,79.6875,-76.7914
52,81.25,-61.5153
53,82.8125,-52.5512
54,84.375,-57.6451
55,85.9375,-67.4469
56,87.5,-78.9619
57,89.0625,-78.4777
58,90.625,-79.5067
59,92.1875,-79.3449
60,93.75,-86.8141
61,95.3125,-94.6933
62,96.875,-87.5327
63,98.4375,-80.0659
64,100,-75.0275
65,101.563,-77.4474
66,103.125,-78.737
67,104.688,-83.4343
68,106.25,-73.4271
69,107.813,-59.2969
70,109.375,-49.3149
71,110.938,-55.4184
72,112.5,-66.4482
73,114.063,-71.7491
74,115.625,-78.8314
75,117.188,-78.8213
76,118.75,-104.23
77,120.313,-83.7756
78,121.875,-84.4463
79,123.438,-80.9653
80,125,-83.7696
81,126.563,-85.902
82,128.125,-81.2933
83,129.688,-93.4258
84,131.25,-91.5977
85,132.813,-85.7953
86,134.375,-74.2668
87,135.938,-76.6997
88,137.5,-73.0263
89,139.063,-61.4188
90,140.625,-63.9684
91,142.188,-77.0018
92,143.75,-83.7152
93,145.313,-73.3549
94,146.875,-61.7249
95,148.438,-63.847
96,150,-86.1982
97,151.563,-87.8089
98,153.125,-84.2371
99,154.688,-86.8899
100,156.25,-100.333
101,157.813,-87.4533
102,159.375,-87.029
103,160.938,-96.8426
104,162.5,-83.6617
105,164.063,-68.8558
106,165.625,-62.5624
107,167.188,-72.0426
108,168.75,-77.1166
109,170.313,-80.1632
110,171.875,-87.9718
111,173.438,-95.7941
112,175,-96.2954
113,176.563,-89.3702
114,178.125,-83.2323
115,179.688,-83.1238
116,181.25,-76.9078
117,182.813,-76.32
118,184.375,-87.2711
119,185.938,-82.7155
120,187.5,-88.7984
121,189.063,-73.9037
122,190.625,-70.1524
123,192.188,-70.9431
124,193.75,-60.893
125,195.313,-51.2526
126,196.875,-57.3893
127,198.438,-77.161
128,200,-80.7791
129,201.563,-82.1835
130,203.125,-82.5835
131,204.688,-81.1725
132,206.25,-81.3084
133,207.813,-83.0896
134,209.375,-77.8778
135,210.938,-77.2745
136,212.5,-79.5115
137,214.063,-84.1857
138,215.625,-80.7599
139,217.188,-69.0482
140,218.75,-53.5566
141,220.313,-53.8895
142,221.875,-70.159
143,223.438,-94.1517
144,225,-95.656
145,226.563,-80.8304
146,228.125,-84.5299
147,229.688,-90.3512
148,231.25,-81.5629
149,232.813,-82.6748
150,234.375,-80.1068
151,235.938,-82.4357
152,237.5,-88.4632
153,239.063,-80.0917
