Sample,Frequency(Hz),Amplitude CH1(dBV)
0,0,-7.44124
1,1.5625,-11.7685
2,3.125,-19.1485
3,4.6875,-25.6827
4,6.25,-25.2585
5,7.8125,-22.4935
6,9.375,-31.4435
7,10.9375,-35.2513
8,12.5,-31.974
9,14.0625,-27.4423
10,15.625,-35.3651
11,17.1875,-40.2776
12,18.75,-35.9119
13,20.3125,-33.0077
14,21.875,-33.8989
15,23.4375,-46.0529
16,25,-52.0964
17,26.5625,-46.293
18,28.125,-44.2304
19,29.6875,-38.0367
20,31.25,-36.9028
21,32.8125,-39.0844
22,34.375,-43.8092
23,35.9375,-49.2034
24,37.5,-47.7465
25,39.0625,-47.4574
26,40.625,-44.1853
27,42.1875,-47.6387
28,43.75,-41.7739
29,45.3125,-46.9662
30,46.875,-43.4605
31,48.4375,-41.2836
32,50,-42.4448
33,51.5625,-46.2986
34,53.125,-48.8827
35,54.6875,-51.8823
36,56.25,-43.3606
37,57.8125,-30.7117
38,59.375,-14.5388
39,60.9375,-15.8175
40,62.5,-36.6033
41,64.0625,-54.7678
42,65.625,-48.3934
43,67.1875,-57.0563
44,68.75,-56.9839
45,70.3125,-55.6516
46,71.875,-53.0216
47,73.4375,-45.1333
48,75,-23.8315
49,76.5625,-17.0326
50,78.125,-25.4033
51,79.6875,-49.8963
52,81.25,-39.4978
53,82.8125,-46.3767
54,84.375,-52.1444
55,85.9375,-59.0878
56,87.5,-55.3251
57,89.0625,-58.623
58,90.625,-76.1982
59,92.1875,-57.0013
60,93.75,-56.2977
61,95.3125,-69.7332
62,96.875,-50.1899
63,98.4375,-54.4597
64,100,-33.8976
65,101.563,-19.954
66,103.125,-21.9129
67,104.688,-42.4918
68,106.25,-66.0243
69,107.813,-53.1526
70,109.375,-54.8439
71,110.938,-52.0352
72,112.5,-50.6283
73,114.063,-50.0262
74,115.625,-52.0184
75,117.188,-53.1336
76,118.75,-27.6522
77,120.313,-23.2527
78,121.875,-33.6921
79,123.438,-64.5508
80,125,-48.5834
81,126.563,-44.5515
82,128.125,-48.543
83,129.688,-54.5157
84,131.25,-68.7643
85,132.813,-62.5178
86,134.375,-70.9382
87,135.938,-56.4336
88,137.5,-59.3455
89,139.063,-42.4001
90,140.625,-35.3268
91,142.188,-42.5376
92,143.75,-62.6783
93,145.313,-90.3878
94,146.875,-58.1197
95,148.438,-59.5571
96,150,-60.3359
97,151.563,-41.48
98,153.125,-33.3438
99,154.688,-33.619
100,156.25,-51.2994
101,157.813,-59.0308
102,159.375,-53.0411
103,160.938,-53.9125
104,162.5,-58.9104
105,164.063,-54.6155
106,165.625,-54.1441
107,167.188,-45.9319
108,168.75,-51.5688
109,170.313,-71.0031
110,171.875,-64.8234
111,173.438,-67.7195
112,175,-69.458
113,176.563,-89.974
114,178.125,-65.5587
115,179.688,-61.805
116,181.25,-70.9319
117,182.813,-49.9509
118,184.375,-42.7919
119,185.938,-47.4096
120,187.5,-52.125
121,189.063,-45.2804
122,190.625,-48.3965
123,192.188,-57.1697
124,193.75,-52.0789
125,195.313,-43.3115
