Sample,Frequency(Hz),Amplitude CH1(dBFS)
0,0,-43.7179
1,1.5625,-49.4236
2,3.125,-51.1276
3,4.6875,-51.5466
4,6.25,-49.8261
5,7.8125,-52.3954
6,9.375,-56.9655
7,10.9375,-67.0276
8,12.5,-66.4334
9,14.0625,-69.2189
10,15.625,-64.6106
11,17.1875,-75.0968
12,18.75,-69.9833
13,20.3125,-66.7426
14,21.875,-73.7203
15,23.4375,-78.4155
16,25,-64.6089
17,26.5625,-62.8203
18,28.125,-71.3399
19,29.6875,-77.5098
20,31.25,-64.5397
21,32.8125,-67.1173
22,34.375,-74.3943
23,35.9375,-77.4008
24,37.5,-76.5613
25,39.0625,-77.2997
26,40.625,-79.8503
27,42.1875,-79.4813
28,43.75,-80.5612
29,45.3125,-81.6995
30,46.875,-78.2807
31,48.4375,-84.4973
32,50,-82.3201
33,51.5625,-85.9399
34,53.125,-74.8539
35,54.6875,-90.3386
36,56.25,-78.2384
37,57.8125,-60.3386
38,59.375,-44.9609
39,60.9375,-46.4577
40,62.5,-65.2202
41,64.0625,-83.0397
42,65.625,-80.8193
43,67.1875,-75.8202
44,68.75,-81.299
45,70.3125,-87.0886
46,71.875,-58.0152
47,73.4375,-50.9215
48,75,-58.0633
49,76.5625,-90.6568
50,78.125,-81.3325
51,79.6875,-84.7591
52,81.25,-82.088
53,82.8125,-86.2572
54,84.375,-88.5921
55,85.9375,-93.0047
56,87.5,-79.1958
57,89.0625,-86.9095
58,90.625,-88.5898
59,92.1875,-96.5431
60,93.75,-74.2422
61,95.3125,-47.6296
62,96.875,-43.2955
63,98.4375,-53.9451
64,100,-85.8466
65,101.563,-92.8476
66,103.125,-85.4524
67,104.688,-83.5807
68,106.25,-87.0378
69,107.813,-98.6058
70,109.375,-84.0523
71,110.938,-82.4096
72,112.5,-83.5323
73,114.063,-92.0784
74,115.625,-82.073
75,117.188,-98.3517
76,118.75,-58.085
77,120.313,-53.558
78,121.875,-64.069
79,123.438,-93.7783
80,125,-84.4452
81,126.563,-85.3952
82,128.125,-103.393
83,129.688,-86.5288
84,131.25,-86.8836
